ID,Species,Binomial,Presence_of_Data,Publish_Date,Original_Data,Date_Start,Date_End,Country,Lat,Long,Sample_Size,Age_Min,Age_Max,Testicular_Volume,Testicular_Circumference,Collection_Method,Seminal_Volume,Mean_Motility,Sperm_Concentration,%_Normal_Morphology,%_Intact_Acrosome,%_Head_Abnormalities,%_Midpiece_Abnormalities,%_Tail_Abnormalities,Housing,Pairing,Reference,Comments,,,,,,,,,
297,Kashmir White-toothed Shrew,Crocidura pullata,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Hewitt's Red Rock Hare,Pronolagus saundersiae,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Bat-eared Fox,Otocyon megalotis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Arnoux's Beaked Whale,Berardius arnuxii,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Harenna White-toothed Shrew,Crocidura harenna,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Eastern Pygmy Shrew,Sorex hoyi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Shinto Shrew,Sorex shinto,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Western Quoll,Dasyurus geoffroii,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Indochinese Gray Langur,Trachypithecus crepusculus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Siau Island Tarsier,Tarsius tumpara,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Amazon River Dolphin,Inia geoffrensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Ecuadorean Tapeti,Sylvilagus daulensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Rufous Mouse Lemur,Microcebus rufus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Ifola Tree Kangaroo,Dendrolagus notatus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Makassar Tarsier,Tarsius fuscus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Central Desert Marsupial Mole,Notoryctes typhlops,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,East African Potto,Perodicticus ibeanus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Gray's Sportive Lemur,Lepilemur dorsalis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Gracile White-toothed Shrew,Crocidura maurisca,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Baikal Seal,Pusa sibirica,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Common Long-eared Hedgehog,Hemiechinus auritus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Sumatran Treeshrew,Tupaia ferruginea,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Chinese Water Deer,Hydropotes inermis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Lemerle's Dwarf Hippopotamus,Hippopotamus lemerlei,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Sandstone Pseudantechinus,Pseudantechinus bilarni,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Golden Snub-nosed Monkey,Rhinopithecus roxellana,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Tasmanian Devil,Sarcophilus harrisii,Yes,2011-09-01,Yes,2007-01-01,2007-07-31,AUS,-43.08146559,147.7977386,17,1.5,,,,EPD,,35.2,,,67.9,60.73333333,13.03333333,19.86666667,wild,,https://doi.org/10.1016/j.theriogenology.2011.04.001,,,,,,,,,,
324,Kahuzi Mouse Shrew,Myosorex jejei,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Cinnamon Antechinus,Antechinus leo,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,North-western Woolly Mouse Opossum,Marmosa germana,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Northern Long-nosed Armadillo,Dasypus sabanicola,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Horsfield's Treeshrew,Tupaia javanica,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Gray Four-eyed Opossum,Philander opossum,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Waigeo Spotted Cuscus,Spilocuscus papuensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Red Goral,Naemorhedus baileyi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Urial,Ovis vignei,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Western Lowland Olingo,Bassaricyon medius,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Northern Treeshrew,Tupaia belangeri,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Binturong,Arctictis binturong,Yes,2021-03-12,Yes,,,MYS,5.850091771,116.0693166,2,12,14,,,EEJ,0.1905,61.1,45.8,28.7,,1.85,13.2,56,captive,pair,https://doi.org/10.3389/fvets.2021.658573,,,,,,,,,,
336,Red Bald Uacari,Cacajao rubicundus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Honey Badger,Mellivora capensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Dabie Mountains Shrew Mole,Uropsilus dabieshanensis,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Desperate White-toothed Shrew,Crocidura desperata,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Saharan Striped Polecat,Poecilictis libyca,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Gray Slender Opossum,Marmosops incanus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Baiji,Lipotes vexillifer,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Jalisco Shrew,Sorex mediopua,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Broad-striped Vontsira,Galidictis fasciata,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Naivasha Dik-dik,Madoqua cavendishi,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Domestic Horse,Equus caballus,Yes,1992-11-01,Yes,1990-01-08,1990-02-12,,,,10,8,18,,,,58.5,,150,79.5,,,,,captive,alone,https://doi.org/10.1002/j.1939-4640.1992.tb00350.x,,,,,,,,,,
347,Domestic Horse,Equus caballus,Yes,2015-12-01,Yes,,,USA,41.81886045,-119.2324532,23,,,,,EPD,,,,59.7,,23.4,0.2,16.3,wild,,https://doi.org/10.1638/2014-0227.1,,,,,,,,,,
348,Domestic Horse,Equus caballus,Yes,2024-01-19,Yes,,,IRN,34.31602902,47.07375515,10,3,7,,,AV,,,,82.32666667,,2.88,,6.05,captive,,https://doi.org/10.1111/rda.14534,,,,,,,,,,
349,Domestic Horse,Equus caballus,Yes,2014-07-01,Yes,,,,,,10,3,14,,,EPD,,48.38666667,,,,3.066666667,51.36666667,13.48333333,,,https://doi.org/10.1016/j.jevs.2014.03.002,,,,,,,,,,
350,Domestic Horse,Equus caballus,Yes,2003-07-15,Yes,1997-09-01,1998-08-31,CHE,46.88674997,7.017563639,12,,,,,,33.475,67.15,229.925,17.375,89.3,,,,captive,,https://doi.org/10.1016/S0378-4320(03)00039-3,,,,,,,,,,
351,Domestic Horse,Equus caballus,Yes,2016-03-28,Yes,,,PRT,39.22220975,-7.672121742,11,4,11,,,AV,,21.9,307,28,,,,,captive,,https://doi.org/10.1111/rda.12686,,,,,,,,,,
352,Domestic Horse,Equus caballus,Yes,2006-04-01,Yes,1992-03-01,1997-04-30,NLD,52.08528796,5.175706198,285,3,7,,,AV,23.5,66.05,234.55,57.45,,15.05,12.35,,captive,,https://doi.org/10.1016/j.theriogenology.2005.08.001,,,,,,,,,,
353,Domestic Horse,Equus caballus,Yes,2004-03-31,Yes,,,EST,59.41284381,24.63926427,15,4,15,,,AV,,,,65.95,98.9,15.55,13.85,6.5,captive,,https://doi.org/10.1186/1751-0147-45-11,,,,,,,,,,
354,Domestic Horse,Equus caballus,Yes,2021-05-06,Yes,,,ESP,41.5041148,2.096000437,14,,,,,AV,,,,71.25,,5.19,11.795,11.765,captive,,https://doi.org/10.3390/vetsci8050079,,,,,,,,,,
355,Domestic Ass,Equus asinus,Yes,2021-05-06,Yes,,,ESP,41.5041148,2.096000437,7,,,,,AV,,,,84.745,,2.465,2.03,10.76,captive,,https://doi.org/10.3390/vetsci8050079,,,,,,,,,,
356,Domestic Horse,Equus caballus,Yes,2018-01-01,Yes,,,CAN,45.48429835,-73.58302415,15,3,15,,,AV,,,,54.03333333,99.29,8.133333333,17.36666667,11.4,captive,,https://doi.org/10.1016/j.anireprosci.2017.11.021,,,,,,,,,,
357,Domestic Horse,Equus caballus,Yes,2008-10-22,Yes,2007-01-01,2007-06-30,,,,9,5,12,,,AV,45.5,75.4,,48.9,,11.8,36.8,2.45,captive,,https://doi.org/10.1186/1751-0147-50-41,,,,,,,,,,
358,Domestic Horse,Equus caballus,Yes,2020-09-01,Yes,,,CHL,-33.26911188,-70.38014973,20,5,24,,,AV,42.215,,233.6316667,82.73166667,,,,,captive,alone,https://doi.org/10.1016/j.jevs.2020.103170,,,,,,,,,,
359,Bluebuck,Hippotragus leucophaeus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Hairy-tailed Mole,Parascalops breweri,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Tasman Peninsula Dusky Antechinus,Antechinus vandycki,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Andean Saddle-back Tamarin,Saguinus leucogenys,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Coastal Tapeti,Sylvilagus tapetillus,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Japanese Water Shrew,Chimarrogale platycephala,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
