Specie,Year,Location,number of animals,Collectio method,Mean motility,Sperm concentration (million/ml),% normal sperm,housing,Reference,Comments
armadillo,2016,Brazil,4,EEJ,84.5,139.58,78,captive,https://www.scielo.br/j/pvb/a/BCSZpGDHyRvhVZVnwGwMQnk/?format=pdf&lang=en,
Giant Anteater,2010,Brazil,16,EEJ,28.3,129.41,35.5,captive,https://onlinelibrary.wiley.com/doi/full/10.1002/zoo.21602,
Giant Anteater,2015,Brazil,8,EEJ,75,108.5,51.7,free-range,https://www.sciencedirect.com/science/article/pii/S0093691X1500429X,
Giant Anteater,2015,Brazil,2,EEJ,50,33.33,63,captive,https://www.cabdirect.org/cabdirect/abstract/20163105333,
mouflon,2014,Spain,7,EEJ,58,,55.7,captive,https://www.sciencedirect.com/science/article/pii/S0378432014002073,
mouflon,2018,Spain,16,EEJ,61.25,,85,captive,https://www.sciencedirect.com/science/article/pii/S0378432017308849,
chimpanzee,1977,USA,3,,,,95.3,captive,https://www.nature.com/articles/270345a0,
human,1977,USA,4,masturbation,,,73,,https://www.nature.com/articles/270345a0,
gorila,1977,USA,2,,,,98.5,captive,https://www.nature.com/articles/270345a0,
chimpanzee,2021,France,2,masturbation,63.5,149,83,captive,https://www.mdpi.com/1422-0067/22/19/10383/htm,
gorila,2005,USA,2,masturbation,57.7,91.7,29.5,captive,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.20158,
Giraffe,2019,Slovakia,3,epididymal,21.66,,24.5,captive,https://link.springer.com/article/10.1007/s10344-019-1257-7#Sec2,
Giraffe,2022,Europe,7,epididymal,80.66,,78,captive,https://www.mdpi.com/2076-2615/12/7/857/htm,
Sloth,2008,Brazil,15,EEJ,,,70.1,captive,https://www.sciencedirect.com/science/article/abs/pii/S0040816608000189,
plain bison,2009,Canada,14,epididymal,70,468,57,farm,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1439-0531.2008.01087.x,
Puma,2020,Brazil,3,UC,70,524,40.5,captive,https://www.scielo.br/j/abmvz/a/mBxRCvN3KgfmGtH5vYjrWcp/abstract/?lang=pt,
