"order_id","mainCommonName","scientific_name","otherCommonNames"
97,"Harbor Porpoise","Phocoena phocoena","Common Porpoise|Sea-hog|Sea-pig|Atlantic Harbor Porpoise|North Atlantic Harbor Porpoise|Black Sea Harbor Porpoise|Eastern North Pacific Harbor Porpoise|Eastern Pacific Harbor Porpoise"
98,"Hidden Brown-toothed Shrew","Episoriculus umbrinus",NA
99,"Calamian Deer","Axis calamianensis",NA
100,"Thomas's Silky Anteater","Cyclopes thomasi",NA
101,"Blond Capuchin","Sapajus flavius","Blonde Capuchin|Marcgrave's Capuchin"
102,"Brooke's Duiker","Cephalophorus brookei",NA
103,"Black-shanked Douc","Pygathrix nigripes","Black-shanked Douc Langur|Black-shanked Douc Monkey"
104,"Gray-shanked Douc","Pygathrix cinerea","Gray-shanked Douc Langur|Gray-shanked Douc Monkey"
105,"Desert Bandicoot","Perameles eremiana","Orange-backed Bandicoot"
106,"Asian Small-clawed Otter","Lutra cinerea","Oriental Small-clawed Otter"
107,"Black-and-rufous Sengi","Rhynchocyon petersi","Black-and-rufous Elephant-shrew|Peters's Sengi|Peters's Elephant-shrew|Zanj Sengi|Zanj Elephant-shrew"
108,"Handley's Slender Opossum","Marmosops handleyi","Handley's Slender Mouse Opossum"
109,"Red Slender Loris","Loris tardigradus","Horton Plains Slender Loris"
110,"Banded Hare Wallaby","Lagostrophus fasciatus",NA
111,"Lesula","Cercopithecus lomamiensis","Lesula Monkey|Lesula Guenon"
112,"Eastern Red Panda","Ailurus styani","Chinese Red Panda|Styan's Red Panda"
113,"Manchurian Pika","Ochotona mantchurica","Skorodumov's Pika"
114,"Perija Small-eared Shrew","Cryptotis perijensis","Perija Shrew"
115,"Rio Acarí Marmoset","Mico acariensis",NA
116,"White-tailed Mole","Parascaptor leucurus","Assamese Mole|Blyth's Mole|Indian Mole"
117,"Papuan Planigale","Planigale novaeguineae","New Guinean Planigale"
118,"Dice's Cottontail","Sylvilagus dicei",NA
119,"Rio Juruá Collared Titi","Cheracebus regulus","Juruá Collared Titi|Red-headed Titi|Thomas's Titi"
120,"Tanzanian White-toothed Shrew","Crocidura tansaniana","Tanzanian Shrew"
121,"Malay Weasel","Mustela nudipes",NA
122,"Nepalese Brown-toothed Shrew","Episoriculus soluensis","Solu Long-tailed Shrew"
123,"Equivalent-teeth Shrew Mole","Uropsilus aequodonenia","Sichuan Shrew Mole"
124,"Ihering's Three-striped Opossum","Monodelphis iheringi","Flat-headed Opossum|Ihering's Short-tailed Opossum"
125,"Kakadu Dunnart","Sminthopsis bindi",NA
126,"Short-tailed Mongoose","Urva brachyura",NA
127,"Wolf's Monkey","Cercopithecus wolfi","Wolf's Guenon|Wolf's Mona|Congo Basin Wolf's Monkey|Fire-bellied Wolf's Monkey|Lomami River Wolf's Monkey"
128,"Eastern Tree Hyrax","Dendrohyrax validus","Tree Dassie"
129,"Red-bellied Lemur","Eulemur rubriventer",NA
130,"Phu Quoc White-toothed Shrew","Crocidura phuquocensis",NA
131,"Yellow Mongoose","Cynictis penicillata",NA
132,"Fawn Antechinus","Antechinus bellus","Fawn Marsupial Mouse"
133,"Canarian White-toothed Shrew","Crocidura canariensis","Canarian Shrew"
134,"Tate's Striped Possum","Dactylopsila tatei","Fergusson Island Striped Possum|Tate's Triok"
135,"Broad-striped Dasyure","Murexia rothschildi","Short-haired Marsupial Mouse"
136,"Iranian Pika","Ochotona vizier",NA
137,"Black Four-eyed Opossum","Philander nigratus",NA
138,"Grivet Monkey","Chlorocebus aethiops","Grivet|Vervet Monkey"
139,"Nile Lechwe","Kobus megaceros","Mrs. Gray's Lechwe|Mrs. Gray's Waterbuck"
140,"Bryde's Whale","Balaenoptera brydei","Ordinary Bryde's Whale|Large Bryde's Whale"
141,"Greater Forest Shrew","Sylvisorex ollula","Forest Musk Shrew"
142,"Heather White-toothed Shrew","Crocidura erica","Heather Shrew|Angolan White-toothed Shrew"
143,"Giant Solenodon","Solenodon arredondoi",NA
144,"Caucasian Pygmy Shrew","Sorex volnuchini","Volnuchin's Shrew"
145,"Pygmy Three-toed Sloth","Bradypus pygmaeus","Pygmy Sloth"
146,"Alpine Pika","Ochotona alpina","Altai Pika|Eastern Sayan Pika|Eversmann's Altai Pika|Middle-Altai Pika|Tuva Pika"
147,"Snethlage's Marmoset","Mico emiliae","Emilia's Marmoset"
148,"Cat Ba Langur","Trachypithecus poliocephalus","Golden-headed Langur"
149,"Sierra Shrew","Sorex madrensis","Guatemalan Sierra Shrew"
150,"Greater White-toothed Shrew","Crocidura russula","Greater Shrew"
151,"Northern Pygmy Slow Loris","Xanthonycticebus intermedius","Northern Pygmy Loris"
152,"Woodlark Cuscus","Phalanger lullulae","Woodlark Island Cuscus"
153,"White-tailed Sengi","Rhynchocyon stuhlmanni","White-tailed Elephant-shrew|Stuhlmann's Sengi|Stuhlmann's Elephant-shrew"
154,"Sardinian Pika","Prolagus sardus",NA
155,"Small-toothed Ferret-badger","Melogale moschata","Chinese Ferret-badger"
156,"Common Brush-tailed Phascogale","Phascogale tapoatafa","Black-tailed Phascogale|Brush-tailed Phascogale|Common Wambenger|Tuan"
157,"Northern Black-eared Opossum","Didelphis marsupialis","Common Opossum|Carachupa"
158,"Hiller's Slow Loris","Nycticebus hilleri","Sumatran Slow Loris"
159,"White-fronted Brown Lemur","Eulemur albifrons","White-fronted Lemur|White-headed Brown Lemur|White-headed Lemur"
160,"Malaysian Mole","Euroscaptor malayanus",NA
161,"Pronghorn","Antilocapra americana","Prongbuck|Antelope|Sonoran Pronghorn"
162,"Southern Pygmy Marmoset","Cebuella niveiventris","Eastern Pygmy Marmoset"
163,"Northern Common Cuscus","Phalanger orientalis","Common Phalanger|Grey Cuscus"
164,"Six-banded Armadillo","Euphractus sexcinctus","Yellow Armadillo"
165,"Black-tailed Marmoset","Mico melanurus",NA
166,"Kashmir White-toothed Shrew","Crocidura pullata","Asiatic White-toothed Shrew|Dusky Shrew"
167,"Hewitt's Red Rock Hare","Pronolagus saundersiae",NA
168,"Bat-eared Fox","Otocyon megalotis",NA
169,"Arnoux's Beaked Whale","Berardius arnuxii","New Zealand Beaked Whale|Southern Four-toothed Whale"
170,"Harenna White-toothed Shrew","Crocidura harenna","Harenna Shrew"
171,"Eastern Pygmy Shrew","Sorex hoyi","American Pygmy Shrew"
172,"Shinto Shrew","Sorex shinto",NA
173,"Western Quoll","Dasyurus geoffroii","Chuditch|Western Native Cat"
174,"Indochinese Gray Langur","Trachypithecus crepusculus",NA
175,"Siau Island Tarsier","Tarsius tumpara","Siau Tarsier"
176,"Amazon River Dolphin","Inia geoffrensis","Boto|Bufeo|Pink River Dolphin"
177,"Ecuadorean Tapeti","Sylvilagus daulensis",NA
178,"Rufous Mouse Lemur","Microcebus rufus","Brown Mouse Lemur|Eastern Rufous Mouse Lemur"
179,"Ifola Tree Kangaroo","Dendrolagus notatus","Ifola"
180,"Makassar Tarsier","Tarsius fuscus",NA
181,"Central Desert Marsupial Mole","Notoryctes typhlops","Central Marsupial Mole|Itjaritjari|Southern Marsupial Mole"
182,"East African Potto","Perodicticus ibeanus","Eastern Potto|Mount Kenya Potto"
183,"Gray's Sportive Lemur","Lepilemur dorsalis","Back-striped Sportive Lemur|Gray-backed Sportive Lemur|Mittermeier's Sportive Lemur"
184,"Gracile White-toothed Shrew","Crocidura maurisca","Dark Shrew|Gracile Naked-tailed Shrew"
185,"Baikal Seal","Pusa sibirica","Lake Baikal Seal|Nerpa"
186,"Common Long-eared Hedgehog","Hemiechinus auritus","Afghan Hedgehog|Long-eared Steppe Hedgehog"
187,"Sumatran Treeshrew","Tupaia ferruginea",NA
188,"Chinese Water Deer","Hydropotes inermis",NA
189,"Lemerle's Dwarf Hippopotamus","Hippopotamus lemerlei",NA
190,"Sandstone Pseudantechinus","Pseudantechinus bilarni","Harney's Antechinus|Northern Dibbler|Sandstone Antechinus|Sandstone Dibbler"
191,"Golden Snub-nosed Monkey","Rhinopithecus roxellana","Sichuan Golden Snub-nosed Monkey|Sichuan Snub-nosed Monkey|Hubei Golden Snub-nosed Monkey|Moupin Golden Snub-nosed Monkey|Quinling Golden Snub-nosed Monkey|Golden Monkey"
192,"Tasmanian Devil","Sarcophilus harrisii","Devil|Native Devil"
193,"Kahuzi Mouse Shrew","Myosorex jejei","Kahuzi Swamp Shrew"
194,"Cinnamon Antechinus","Antechinus leo","Iron Range Antechinus|Cape York Antechinus"
195,"North-western Woolly Mouse Opossum","Marmosa germana",NA
196,"Northern Long-nosed Armadillo","Dasypus sabanicola","Llanos Long-nosed Armadillo"
197,"Horsfield's Treeshrew","Tupaia javanica","Javan Treeshrew"
198,"Gray Four-eyed Opossum","Philander opossum","Guaiki"
199,"Waigeo Spotted Cuscus","Spilocuscus papuensis","Waigeo Cuscus"
200,"Red Goral","Naemorhedus baileyi",NA
201,"Urial","Ovis vignei","Shapo"
202,"Western Lowland Olingo","Bassaricyon medius",NA
203,"Northern Treeshrew","Tupaia belangeri","Chinese Treeshrew"
204,"Binturong","Arctictis binturong",NA
205,"Red Bald Uacari","Cacajao rubicundus","Red Uacari|Red Uakari|Red Bald-headed Uacari"
206,"Honey Badger","Mellivora capensis","Ratel"
207,"Dabie Mountains Shrew Mole","Uropsilus dabieshanensis",NA
208,"Desperate White-toothed Shrew","Crocidura desperata","Desperate Shrew"
209,"Saharan Striped Polecat","Poecilictis libyca","Saharan Striped Weasel"
210,"Gray Slender Opossum","Marmosops incanus","Gray Slender Mouse Opossum"
211,"Baiji","Lipotes vexillifer","Changjiang Dolphin|Chinese Lake Dolphin|Chinese River Dolphin|White Flag Dolphin|Whitefin Dolphin|Yangtze River Dolphin"
212,"Jalisco Shrew","Sorex mediopua",NA
213,"Broad-striped Vontsira","Galidictis fasciata","Broad-striped Malagasy Mongoose|Vontsira Fotsy|Bakiaka Betanimena|Bakiaka Belemboka"
214,"Naivasha Dik-dik","Madoqua cavendishi","Cavendish's Dik-dik|Hinde's Dik-dik"
215,"Domestic Horse","Equus caballus","Horse|Feral Horse"
216,"Bluebuck","Hippotragus leucophaeus","Blue Antelope|Blaaubok"
217,"Hairy-tailed Mole","Parascalops breweri","Brewer's Mole"
218,"Tasman Peninsula Dusky Antechinus","Antechinus vandycki",NA
219,"Andean Saddle-back Tamarin","Saguinus leucogenys",NA
220,"Coastal Tapeti","Sylvilagus tapetillus",NA
221,"Central American Tapir","Tapirus bairdii","Baird's Tapir"
222,"Japanese Water Shrew","Chimarrogale platycephala","Flat-headed Water Shrew"
223,"Gray Short-tailed Opossum","Monodelphis domestica","Brazilian Bare-tailed Opossum|Brazilian Gray Short-tailed Opossum|Gray Opossum|Gray-faced Opossum|Laboratory Opossum|Plain Bare Tail|Short Bare-tailed Opossum|Short-tailed Opossum"
224,"Pileated Gibbon","Hylobates pileatus","Capped Gibbon|Crowned Gibbon"
225,"Silvery Marmoset","Mico argentatus",NA
226,"Giant Armadillo","Priodontes maximus",NA
227,"Niemitz's Tarsier","Tarsius niemitzi","Bunsing|Tangkasi|Podi"
228,"Japanese Macaque","Macaca fuscata","Yakushima Macaque"
229,"Nicefor's Tapeti","Sylvilagus nicefori",NA
230,"Tres Marías Gray Mouse Opossum","Tlacuatzin insularis","Tres Marías Mouse Opossum"
231,"Southern Common Cuscus","Phalanger mimicus","Australian Common Cuscus"
232,"Santarém Marmoset","Mico humeralifer","Black-and-white Tassel-ear Marmoset|Tassel-ear Marmoset"
233,"Banka Island Treeshrew","Tupaia discolor",NA
234,"Linnaeus's Two-toed Sloth","Choloepus didactylus","Linné's Two-toed Sloth|Southern Two-toed Sloth"
235,"Formosan Ferret-badger","Melogale subaurantiaca",NA
236,"Sambirano Mouse Lemur","Microcebus sambiranensis",NA
237,"Nilgiri Tahr","Nilgiritragus hylocrius","Nilgiri Ibex"
238,"East Amazonian Long-nosed Armadillo","Dasypus beniensis",NA
239,"Southern Pig-tailed Macaque","Macaca nemestrina","Pigtail Macaque|Pig-tailed Macaque|Sunda Pig-tailed Macaque|Sundaland Pig-tailed Macaque"
240,"Small Indian Civet","Viverricula indica","Lesser Oriental Civet"
241,"Gray Wolf","Canis lupus","Wolf|Timber Wolf|Tundra Wolf|Arctic Wolf"
242,"Balete's White-toothed Shrew","Crocidura baletei",NA
243,"Geoffroy's Saddle-back Tamarin","Saguinus nigrifrons",NA
244,"Yankari White-toothed Shrew","Crocidura yankariensis","Yankari Shrew"
245,"Aoudad","Ammotragus lervia","Arrui|Audad|Barbary Sheep"
246,"Long-clawed Shrew","Sorex unguiculatus",NA
247,"Malabar Sacred Langur","Semnopithecus hypoleucos","Black-footed Gray Langur|Dark-legged Malabar Langur|Malabar Gray Langur|Black-legged Langur|Northern Malabar Langur|Travancore Langur"
248,"Red Silky Anteater","Cyclopes rufus",NA
249,"Tufted Gray Langur","Semnopithecus priam","Coromandel Crested Langur|Coromandel Gray Langur|Coromandel Sacred Langur|Madras Gray Langur|Central Indian Gray Langur|Madras Gray Langur|Sri Lankan Gray Langur|Southern Gray Langur"
250,"Yungas Lesser Long-nosed Armadillo","Dasypus mazzai","Yepes's Mulita"
251,"Sambirano Woolly Lemur","Avahi unicolor","Sambirano Avahi|Unicolor Woolly Lemur"
252,"Cheetah","Acinonyx jubatus",NA
253,"Grizzled Small-eared Shrew","Cryptotis obscurus","Grizzled Mexican Small-eared Shrew|Grizzled Shrew"
254,"Rondo Dwarf Galago","Paragalago rondoensis","Rondo Bushbaby|Rondo Galago"
255,"Brown-headed Spider Monkey","Ateles fusciceps","Black-headed Spider Monkey|Colombian Black Spider Monkey"
256,"Coast Mole","Scapanus orarius","Coastal Mole|Pacific Mole|Red-footed Mole"
257,"Mona Monkey","Cercopithecus mona","Mona Guenon"
258,"Black-and-white Ruffed Lemur","Varecia variegata","Pied Black-and-white Ruffed Lemur|Northern Black-and-white Ruffed Lemur|Southern Black-and-white Ruffed Lemur|Variegated Ruffed Lemur"
259,"Pallas's Cat","Otocolobus manul","Manul|Steppe Cat"
260,"Spotted Seal","Phoca largha","Largha Seal"
261,"Dwarf Fat-tailed Opossum","Thylamys velutinus","Dwarf Fat-tailed Mouse Opossum|Dwarf Thylamys|Velvety Fat-tailed Opossum"
262,"Malayan Tapir","Tapirus indicus","Asian Tapir|Indian Tapir|Malay Tapir"
263,"Addax","Addax nasomaculatus",NA
264,"Puma","Puma concolor","Cougar|Mountain Lion|Catamount|Panther|Florida Panther"
265,"Bangka White-toothed Shrew","Crocidura vosmaeri","Bangka Shrew"
266,"Haitian Nesophontes","Nesophontes zamicrus",NA
267,"Amazonian Brown Brocket","Mazama nemorivaga","Amazonian Gray Brocket"
268,"Cuban Solenodon","Atopogale cubana","Almiqui"
269,"Scott's Tree Kangaroo","Dendrolagus scottae","Tenkile|Tenkile Tree Kangaroo"
270,"Burmeister's Porpoise","Phocoena spinipinnis","Black Porpoise"
271,"Río Beni Titi","Plecturocebus modestus","Beni Titi Monkey|Bolivian Titi|Modest Titi|Rio Beni Titi"
272,"Bearded Pig","Sus barbatus",NA
273,"Indian Humpback Dolphin","Sousa plumbea",NA
274,"Greater Long-tailed Shrew Tenrec","Microgale principula",NA
275,"Mouse Bandicoot","Microperoryctes murinus","Weyland Mouse Bandicoot"
276,"Black-headed Squirrel Monkey","Saimiri vanzolinii","Black Squirrel Monkey|Vanzolini's Squirrel Monkey"
277,"Smooth-coated Otter","Lutra perspicillata",NA
278,"Blond Titi","Callicebus barbarabrownae","Barbara Brown's Titi|Blond Titi Monkey|Northern Bahian Blond Titi|Northern Bahian Blond Titi Monkey"
279,"Betsileo Sportive Lemur","Lepilemur betsileo",NA
280,"Small-toothed Sportive Lemur","Lepilemur microdon","Small-toothed Weasel Lemur"
281,"Eastern Water Shrew","Sorex albibarbis",NA
282,"Desert Spotted Skunk","Spilogale leucoparia",NA
283,"Jouvenet's White-toothed Shrew","Crocidura jouvenetae","Jouvenet's Shrew"
284,"Northern Tapeti","Sylvilagus incitatus",NA
285,"Soini's Slender Opossum","Marmosops soinii",NA
286,"Lesser Brocket","Mazama nanus","Brazilian Dwarf Brocket|Dwarf Red Brocket|Pigmy Brocket"
287,"Small-toothed Palm Civet","Arctogalidia trivirgata","Three-striped Palm Civet"
288,"Pied Bare-faced Tamarin","Saguinus bicolor","Brazilian Bare-faced Tamarin|Pied Tamarin"
289,"Savanna Glider","Petaurus ariel","Lesser Flying Phalanger|Lesser Flying Squirrel|Lesser Glider|Short-headed Flying Phalanger|Sugar Squirrel|Tasmanian Sugar Glider"
290,"Delicate Slender Opossum","Marmosops parvidens","Delicate Slender Mouse Opossum"
291,"Large-eared Gray Shrew","Notiosorex evotis",NA
292,"Red-cheeked Dunnart","Sminthopsis virginiae",NA
293,"Gemsbok","Oryx gazella","Southern Oryx"
294,"Phillips's Small-eared Shrew","Cryptotis phillipsii","Phillips's Shrew"
295,"Slender Shrew","Sorex gracillimus",NA
296,"Greater Naked-tailed Armadillo","Cabassous tatouay",NA
297,"Southern Yellow-cheeked Crested Gibbon","Nomascus gabriellae","Buff-cheeked Crested Gibbon|Red-cheeked Crested Gibbon|Red-cheeked Gibbon"
298,"Torresian Striped Possum","Dactylopsila trivirgata","Common Striped Possum|Striped Possum"
299,"Bolivian Red Howler","Alouatta sara","Bolivian Red Howling Monkey|Bolivian Red Howler Monkey"
300,"Red-fronted Brown Lemur","Eulemur rufifrons","Southern Red-fronted Brown Lemur"
301,"Wied's Marmoset","Callithrix kuhlii","Wied's Black-tufted-ear Marmoset"
302,"Marsh Mongoose","Atilax paludinosus","Water Mongoose"
303,"Eastern Black Crested Gibbon","Nomascus nasutus","Cao Vit Black Crested Gibbon|Cao Vit Crested Gibbon"
304,"Cerrado Naked-tailed Armadillo","Cabassous squamicaudis",NA
305,"Andean Night Monkey","Aotus miconax","Andean Owl Monkey|Peruvian Night Monkey|Peruvian Owl Monkey"
306,"Bunyoro Rabbit","Poelagus marjorita","Uganda Grass Hare"
307,"Royal Antelope","Neotragus pygmaeus",NA
308,"Semliki Red Colobus","Piliocolobus semlikiensis",NA
309,"Mananara-Nord Sportive Lemur","Lepilemur hollandorum","Holland's Sportive Lemur"
310,"Naked-tailed White-toothed Shrew","Crocidura littoralis","Butiaba Naked-tailed Shrew|Naked-tailed Shrew"
311,"Coppery Brush-tailed Possum","Trichosurus johnstonii","Coppery Brushtail"
312,"Sunda Silvery Langur","Trachypithecus cristatus","Silvered Leaf Monkey|Silvered Monkey|Silvery Langur|Silvery Lutung|Miller's Silvered Langur"
313,"Tapanuli Orangutan","Pongo tapanuliensis",NA
314,"Domestic Cat","Felis catus","Cat"
315,"Common Red Brocket","Mazama americana","Red Brocket"
316,"King Genet","Genetta poensis",NA
317,"King Colobus","Colobus polykomos","Ursine Black-and-white Colobus|Western Black-and-white Colobus|Western Pied Colobus"
318,"Tiger","Panthera tigris",NA
319,"Ambarijeby Mouse Lemur","Microcebus danfossi","Danfoss's Mouse Lemur"
320,"Voracious White-toothed Shrew","Crocidura vorax","Voracious Shrew"
321,"Venezuelan Lowland Rabbit","Sylvilagus varynaensis","Barinas Wild Rabbit"
322,"Puhoat Muntjac","Muntiacus puhoatensis",NA
323,"Humboldt's Squirrel Monkey","Saimiri cassiquiarensis","Colombian Squirrel Monkey"
324,"Goeldi's Monkey","Callimico goeldii","Callimico|Goeldi's Marmoset|Goeldi's Tamarin"
325,"Spotted Linsang","Prionodon pardicolor",NA
326,"South Andean Huemul","Hippocamelus bisulcus","Chilean Huemul|Southern Huemul|Patagonian Huemul"
